Estado;CodigoCatalogo;Marca;Imagen;HojaExcel;FilasExcel;NombreReferencia
LISTO;CCD 16;LCT;catalogador-v2-eca52848ddb122cc.png;LCT;filas 222:230;conector en C
LISTO;CCD 185;LCT;catalogador-v2-eca52848ddb122cc.png;LCT;filas 222:230;conector en C
LISTO;CCD 25;LCT;catalogador-v2-eca52848ddb122cc.png;LCT;filas 222:230;conector en C
LISTO;CCD 35;LCT;catalogador-v2-eca52848ddb122cc.png;LCT;filas 222:230;conector en C
LISTO;CCD 50;LCT;catalogador-v2-eca52848ddb122cc.png;LCT;filas 222:230;conector en C
LISTO;CCD 70;LCT;catalogador-v2-eca52848ddb122cc.png;LCT;filas 222:230;conector en C
LISTO;CCD 95;LCT;catalogador-v2-eca52848ddb122cc.png;LCT;filas 222:230;conector en C
LISTO;CCG-1;LCT;catalogador-v2-a886e5cbd2df843c.png;LCT;filas 231:236;conector puesta a tierra
LISTO;CCG-2;LCT;catalogador-v2-a886e5cbd2df843c.png;LCT;filas 231:236;conector puesta a tierra
LISTO;CCG-3;LCT;catalogador-v2-a886e5cbd2df843c.png;LCT;filas 231:236;conector puesta a tierra
LISTO;CDT 10;DAISA;catalogador-v2-2050321874fd35be.jpg;DAISA;E83:E88;caja de paso
LISTO;CDT 10 012;DAISA;catalogador-v2-2050321874fd35be.jpg;DAISA;E83:E88;caja de paso
LISTO;CDT 10 034;DAISA;catalogador-v2-2050321874fd35be.jpg;DAISA;E83:E88;caja de paso
LISTO;CDT 10 100;DAISA;catalogador-v2-2050321874fd35be.jpg;DAISA;E83:E88;caja de paso
LISTO;CDT 13;DAISA;catalogador-v2-2050321874fd35be.jpg;DAISA;E83:E88;caja de paso
LISTO;CDT 13 012;DAISA;catalogador-v2-2050321874fd35be.jpg;DAISA;E83:E88;caja de paso
LISTO;CDT 13 034;DAISA;catalogador-v2-82c33a515528f1e4.png;DAISA;E89:E94;caja de paso
LISTO;CDT 13 100;DAISA;catalogador-v2-82c33a515528f1e4.png;DAISA;E89:E94;caja de paso
LISTO;CDT 15;DAISA;catalogador-v2-82c33a515528f1e4.png;DAISA;E89:E94;caja de paso
LISTO;CDT 15 112;DAISA;catalogador-v2-82c33a515528f1e4.png;DAISA;E89:E94;caja de paso
LISTO;CDT 30;DAISA;catalogador-v2-82c33a515528f1e4.png;DAISA;E89:E94;caja de paso
LISTO;CDT 40;DAISA;catalogador-v2-82c33a515528f1e4.png;DAISA;E89:E94;caja de paso
LISTO;CE 012;DAISA;catalogador-v2-e2c2244ce59d0234.png;DAISA;E61:E65;caja bastidor
LISTO;CE 012 ST;DAISA;catalogador-v2-e2c2244ce59d0234.png;DAISA;E61:E65;caja bastidor
LISTO;CE 034;DAISA;catalogador-v2-e2c2244ce59d0234.png;DAISA;E61:E65;caja bastidor
LISTO;CE 034 ST;DAISA;catalogador-v2-e2c2244ce59d0234.png;DAISA;E61:E65;caja bastidor
LISTO;CE 100;DAISA;catalogador-v2-f9dea3f604afb670.jpg;DAISA;E66:E69;caja bastidor
LISTO;CE 100 ST;DAISA;catalogador-v2-f9dea3f604afb670.jpg;DAISA;E66:E69;caja bastidor
LISTO;CEF 050;Argeflex;catalogador-v2-b696f6514263d9b8.jpg;ARGEFLEX;E197:E199;conector para caño extraflexible
LISTO;CEF 075;Argeflex;catalogador-v2-b696f6514263d9b8.jpg;ARGEFLEX;E197:E199;conector para caño extraflexible
LISTO;CEF 100;Argeflex;catalogador-v2-b696f6514263d9b8.jpg;ARGEFLEX;E197:E199;conector para caño extraflexible
LISTO;CET 012;DAISA;catalogador-v2-e2c2244ce59d0234.png;DAISA;E61:E65;caja bastidor
LISTO;CET 034;DAISA;catalogador-v2-f9dea3f604afb670.jpg;DAISA;E66:E69;caja bastidor
LISTO;CET 100;DAISA;catalogador-v2-f9dea3f604afb670.jpg;DAISA;E66:E69;caja bastidor
LISTO;CKD-060-20;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E4:E10;cablecanal
LISTO;CKD-080-25-BL;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E12:E21;cablecanal
AMBIGUO;CKD-100-50-BL;Zoloda;catalogador-v2-38d0178fa7067b22.png;ZOLODA Cablecanal;F16:G42;cablecanal
AMBIGUO;CKD-100-50-BL;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E23:E34;cablecanal
AMBIGUO;CKN-1510;Zoloda;catalogador-v2-38d0178fa7067b22.png;ZOLODA Cablecanal;F16:G42;cablecanal tablero
